city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Wambrechies,50.6853,3.0486,France,FR,Hauts-de-France,,10857,10857
Saint-Cyprien,42.6181,3.0064,France,FR,Occitanie,,10844,10844
Montlouis-sur-Loire,47.3883,0.8272,France,FR,Centre-Val de Loire,,10825,10825
Beaumont,45.7517,3.0831,France,FR,Auvergne-Rhône-Alpes,,10793,10793
Pontchâteau,47.4369,-2.0878,France,FR,Pays de la Loire,,10771,10771
Vire,48.8386,-0.8892,France,FR,Normandie,minor,10762,10762
Guilherand,44.9344,4.8747,France,FR,Auvergne-Rhône-Alpes,,10760,10760
Dugny,48.9536,2.4164,France,FR,Île-de-France,,10757,10757
Riorges,46.0428,4.0406,France,FR,Auvergne-Rhône-Alpes,,10757,10757
Aubière,45.7508,3.1108,France,FR,Auvergne-Rhône-Alpes,,10745,10745
Longuenesse,50.7356,2.2372,France,FR,Hauts-de-France,,10736,10736
Castelginest,43.6936,1.4328,France,FR,Occitanie,,10734,10734
Maromme,49.4819,1.0419,France,FR,Normandie,,10730,10730
Villers-Cotterêts,49.2531,3.0903,France,FR,Hauts-de-France,,10676,10676
Lavaur,43.6989,1.8189,France,FR,Occitanie,,10671,10671
Portes-lès-Valence,44.8733,4.8764,France,FR,Auvergne-Rhône-Alpes,,10666,10666
Héricourt,47.5775,6.7617,France,FR,Bourgogne-Franche-Comté,,10654,10654
Marck,50.9481,1.9503,France,FR,Hauts-de-France,,10649,10649
Oloron-Sainte-Marie,43.1942,-0.6067,France,FR,Nouvelle-Aquitaine,minor,10629,10629
Cesson,48.5658,2.6011,France,FR,Île-de-France,,10625,10625
Erstein,48.4219,7.6611,France,FR,Grand Est,,10621,10621
Le Pont-de-Claix,45.1231,5.6981,France,FR,Auvergne-Rhône-Alpes,,10605,10605
Tournon-sur-Rhône,45.0672,4.8328,France,FR,Auvergne-Rhône-Alpes,minor,10598,10598
Tarare,45.8961,4.4331,France,FR,Auvergne-Rhône-Alpes,,10587,10587
Dourdan,48.5289,2.0108,France,FR,Île-de-France,,10559,10559
Villebon-sur-Yvette,48.7000,2.2278,France,FR,Île-de-France,,10546,10546
Courrières,50.4581,2.9472,France,FR,Hauts-de-France,,10544,10544
Orthez,43.4881,-0.7708,France,FR,Nouvelle-Aquitaine,,10515,10515
Amnéville,49.2608,6.1419,France,FR,Grand Est,,10505,10505
Trets,43.4469,5.6858,France,FR,Provence-Alpes-Côte d’Azur,,10500,10500
Chassieu,45.7444,4.9664,France,FR,Auvergne-Rhône-Alpes,,10498,10498
Annoeullin,50.5294,2.9328,France,FR,Hauts-de-France,,10486,10486
Louvres,49.0439,2.5053,France,FR,Île-de-France,,10478,10478
Léognan,44.7286,-0.6008,France,FR,Nouvelle-Aquitaine,,10471,10471
Déville-lès-Rouen,49.4697,1.0497,France,FR,Normandie,,10461,10461
Pierre-Bénite,45.7036,4.8242,France,FR,Auvergne-Rhône-Alpes,,10461,10461
Chantepie,48.0886,-1.6164,France,FR,Bretagne,,10458,10458
